cbsa_code,cbsa_title,cbsa_short,tot_units,tot_pop,units_pcap,h_1990,h_2000,h_2010,h_2020,h_change
28020,"Kalamazoo-Portage, MI",Kalamazoo,48511,12429400,0.00390292371313176,0.4304486969894341,0.41022546049103986,0.3923945875134322,0.3878461388675523,-0.04260255812188179
28140,"Kansas City, MO-KS",Kansas City,410587,72289887,0.00567972944818685,0.6497493887338185,0.5982071152803051,0.5141895547333302,0.4436238505285291,-0.2061255382052894
28420,"Kennewick-Richland, WA",Kennewick,48978,8161305,0.00600124612424116,0.3909896562569131,0.3780216220280947,0.32074205862908856,0.2973109146756172,-0.09367874158129592
28660,"Killeen-Temple, TX",Killeen,86327,13402857,0.00644094016671221,0.30371428433719566,0.29708308294663754,0.2876413490768689,0.3090263717385402,0.00531208740134453
28740,"Kingston, NY",Kingston,22086,6936767,0.00318390397140339,0.3911751787809844,0.38141017613984773,0.3462087962195421,0.32780327155017647,-0.06337190723080793
28940,"Knoxville, TN",Knoxville,144960,29920701,0.00484480627643048,0.5817370080792489,0.5120592843183304,0.4428119137713374,0.38885397218570417,-0.19288303589354472
29180,"Lafayette, LA",Lafayette,76761,17146676,0.00447672773428505,0.5875511644545623,0.5423754150686343,0.5059366410023575,0.4333240106476408,-0.15422715380692154
29200,"Lafayette-West Lafayette, IN",Lafayette,40495,7261216,0.00557688960086024,0.23921746448031828,0.24565262253077536,0.27728132039338454,0.2964883708762463,0.05727090639592802
29460,"Lakeland-Winter Haven, FL",Lakeland,158525,19964269,0.00794043598591062,0.6890305173963117,0.5439956900975912,0.4498986946301777,0.36698650972319263,-0.3220440076731191
29540,"Lancaster, PA",Lancaster,81943,18618328,0.00440120079525938,0.47466845231322513,0.4354375275482933,0.40505080037823954,0.3753944061217307,-0.09927404619149444
29620,"Lansing-East Lansing, MI",Lansing,62068,17955302,0.00345680624029604,0.3841535156181049,0.39026599047015753,0.3711952771390809,0.3509143966023891,-0.0332391190157158
29740,"Las Cruces, NM",Las Cruces,40533,6753331,0.00600192704903698,0.3051166770315268,0.31264208760700085,0.2809435059434709,0.28812489196164504,-0.01699178506988175
29820,"Las Vegas-Henderson-Paradise, NV",Las Vegas,735958,53612837,0.01372727207105268,0.385590169918528,0.281941052052438,0.24830955301080937,0.2551254480799978,-0.1304647218385302
29940,"Lawrence, KS",Lawrence,30100,3859219,0.00779950554762505,0.21359928162072764,0.19120194388089232,0.1859028234412044,0.17698103009997573,-0.0366182515207519
30020,"Lawton, OK",Lawton,11912,4993088,0.00238569798889985,0.27891545805684037,0.2500925103099068,0.23522644559694897,0.23743920299734303,-0.04147625505949734
30460,"Lexington-Fayette, KY",Lexington,117689,16413776,0.00717013562266233,0.4839464750291724,0.3969490414510683,0.34456965956045027,0.31179955371134477,-0.1721469213178276
30700,"Lincoln, NE",Lincoln,66839,10691350,0.00625168944988238,0.30889647178947416,0.300841880978621,0.2855373314260073,0.2737321601932725,-0.03516431159620165
30780,"Little Rock-North Little Rock-Conway, AR",Little Rock,120556,24609009,0.00489885634972135,0.6035147232933313,0.5581387621556645,0.5189806687814684,0.4681035266152987,-0.13541119667803264
31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,1251071,477951119,0.00261757102403603,0.6275931222524797,0.5917899723848392,0.5652436543849138,0.5079129562140587,-0.11968016603842092
31140,"Louisville/Jefferson County, KY-IN",Louisville/Jefferson County,212549,45366581,0.00468514477650409,0.630076618956315,0.571018853338741,0.4977873666040289,0.4406067159467818,-0.18946990300953315
31180,"Lubbock, TX",Lubbock,58581,10607000,0.00552286226077118,0.6162138203208513,0.5578863150838539,0.46805877281358826,0.4491571451146782,-0.16705667520617307
31460,"Madera, CA",Madera,27897,4726720,0.00590197853902917,0.4994607648124837,0.4882978708883593,0.4533930068280495,0.4415831549935671,-0.0578776098189166
31540,"Madison, WI",Madison,140966,21439608,0.00657502693146255,0.3688026071864263,0.40723391037761913,0.40679844582357433,0.3809133601969252,0.01211075301049885
31700,"Manchester-Nashua, NH",Manchester,74212,14609817,0.0050795981907234,0.2471023942503199,0.2655386757592448,0.2917926632985708,0.29833415025990007,0.05123175600958016
31740,"Manhattan, KS",Manhattan,17507,3472114,0.00504217315445287,0.32909355462366247,0.2817891301628318,0.2251210672937721,0.25606220879283864,-0.07303134583082382
32820,"Memphis, TN-MS-AR",Memphis,268200,47774335,0.00561389289877085,0.6515755882700711,0.5917107209782576,0.5495220594690103,0.5108096782999657,-0.1407659099701054
32900,"Merced, CA",Merced,41049,8502242,0.00482802065619868,0.33566056364159785,0.3405272378160917,0.3282323349355204,0.32658096928862285,-0.009079594352975
33100,"Miami-Fort Lauderdale-West Palm Beach, FL",Miami,1272998,193512179,0.00657838698617517,0.6826180515051113,0.6145040438701771,0.5581821250814719,0.5258993081870645,-0.1567187433180468
33340,"Milwaukee-Waukesha-West Allis, WI",Milwaukee,190596,59644559,0.00319553037520153,0.725105980904343,0.714639602570356,0.7003226683458245,0.6728382701467721,-0.05226771075757086
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",Minneapolis,699587,118873606,0.00588513315563086,0.471261212873255,0.4723084735334354,0.4417369470480726,0.4130826373402518,-0.05817857553300321
33660,"Mobile, AL",Mobile,60460,15860227,0.00381205136597351,0.6937165404946133,0.6164186213081472,0.5574545420112365,0.4823056502204726,-0.21141089027414067
33700,"Modesto, CA",Modesto,83331,17331409,0.00480809148292559,0.2815197981963842,0.28280155078762764,0.2750671779410292,0.27450810875761616,-0.007011689438768
33860,"Montgomery, AL",Montgomery,56036,13557021,0.00413335643575384,0.6301026056978937,0.549334022586825,0.4952654403133117,0.4410674410162553,-0.1890351646816384
34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",Myrtle Beach,227310,11384004,0.01996749122716401,0.593722838020438,0.5271525366784997,0.44281034558184834,0.3578652165363202,-0.23585762148411785
34900,"Napa, CA",Napa,19124,4893579,0.00390797818937836,0.32212087177904153,0.36832397079116647,0.43367521429166184,0.417262325376296,0.09514145359725446
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",Nashville,500441,55806259,0.00896747083512621,0.5627205270076248,0.4890387032629566,0.4383342908374663,0.37340610322581486,-0.1893144237818099
35300,"New Haven-Milford, CT",New Haven,87931,32972692,0.0026667825605504,0.5643122562621103,0.5308663056636989,0.485119936223214,0.4396208689954446,-0.12469138726666572
